"","Specimen_Number","Collection","Lot_Number","Collector","Ecoregion","County","Coastal_Proximity","Location","Site","SoCal_Group","Island_Size","Latitude","Longitude","Epoch","Formation","Decade","Year","Season","Month","Mean_SST","Mean_SST_Sdev","Length_mm","Width_mm","Geometric_Mean","Globosity_WoverL","Aperture_mm","Thickness_mm","Habitat","Depth","BRY","BAR","LMP","TWS","COR","ALG","SCR","BOR_TAP","BOR_STR","BOR_INC","mean_pvolc3","sd_pvolc3","zooplankton_n_points_used","zooplankton_mean_distance","fish_total_catch_wt_kg","fish_cpue_kg_per_ha_der","sd_total_catch_wt_kg","sd_cpue_kg_per_ha_der","fish_n_points_used","fish_mean_distance","Population_Density","Population_Density_NoBaja","MPA","Image_url"
"138",192,"CAS","185180","Smith","Southern California Bight","Orange","Coastal","SLA","Newport: Balboa Bay","Los Angeles",NA,33.59,-117.88,"Holocene",NA,1910,1911,NA,NA,15.59793973,2.127915209,20.07,10.92,14.8,0.54,2.79,0.51,NA,"intertidal",0,0,0,0,0,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.143640041,1.143640041,"no",NA
"139",193,"CAS","185180","Smith","Southern California Bight","Orange","Coastal","SLA","Newport: Balboa Bay","Los Angeles",NA,33.59,-117.88,"Holocene",NA,1910,1911,NA,NA,15.59793973,2.127915209,23.37,13.97,18.07,0.6,2.79,0.51,NA,"intertidal",0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.143640041,1.143640041,"no",NA
"140",194,"CAS","185180","Smith","Southern California Bight","Orange","Coastal","SLA","Newport: Balboa Bay","Los Angeles",NA,33.59,-117.88,"Holocene",NA,1910,1911,NA,NA,15.59793973,2.127915209,28.19,15.24,20.73,0.54,3.05,0.25,NA,"intertidal",0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.143640041,1.143640041,"no",NA
"141",195,"CAS","185180","Smith","Southern California Bight","Orange","Coastal","SLA","Newport: Balboa Bay","Los Angeles",NA,33.59,-117.88,"Holocene",NA,1910,1911,NA,NA,15.59793973,2.127915209,22.61,13.72,17.61,0.61,3.05,0.25,NA,"intertidal",0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.143640041,1.143640041,"no",NA
"142",196,"CAS","185180","Smith","Southern California Bight","Orange","Coastal","SLA","Newport: Balboa Bay","Los Angeles",NA,33.59,-117.88,"Holocene",NA,1910,1911,NA,NA,15.59793973,2.127915209,21.59,11.43,15.71,0.53,3.05,0.51,NA,"intertidal",0,0,1,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.143640041,1.143640041,"no",NA
"143",197,"CAS","185180","Smith","Southern California Bight","Orange","Coastal","SLA","Newport: Balboa Bay","Los Angeles",NA,33.59,-117.88,"Holocene",NA,1910,1911,NA,NA,15.59793973,2.127915209,24.38,13.72,18.29,0.56,3.05,0.51,NA,"intertidal",0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.143640041,1.143640041,"no",NA
"144",198,"CAS","185180","Smith","Southern California Bight","Orange","Coastal","SLA","Newport: Balboa Bay","Los Angeles",NA,33.59,-117.88,"Holocene",NA,1910,1911,NA,NA,15.59793973,2.127915209,20.83,12.45,16.1,0.6,3.05,0.51,NA,"intertidal",0,0,1,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.143640041,1.143640041,"no",NA
"145",199,"CAS","185180","Smith","Southern California Bight","Orange","Coastal","SLA","Newport: Balboa Bay","Los Angeles",NA,33.59,-117.88,"Holocene",NA,1910,1911,NA,NA,15.59793973,2.127915209,24.13,13.21,17.85,0.55,3.05,0.76,NA,"intertidal",0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.143640041,1.143640041,"no",NA
"146",200,"CAS","185180","Smith","Southern California Bight","Orange","Coastal","SLA","Newport: Balboa Bay","Los Angeles",NA,33.59,-117.88,"Holocene",NA,1910,1911,NA,NA,15.59793973,2.127915209,23.62,13.72,18,0.58,3.05,0.76,NA,"intertidal",0,0,1,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.143640041,1.143640041,"no",NA
"147",201,"CAS","185180","Smith","Southern California Bight","Orange","Coastal","SLA","Newport: Balboa Bay","Los Angeles",NA,33.59,-117.88,"Holocene",NA,1910,1911,NA,NA,15.59793973,2.127915209,27.69,15.49,20.71,0.56,3.3,0.51,NA,"intertidal",0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.143640041,1.143640041,"no",NA
"148",202,"CAS","185180","Smith","Southern California Bight","Orange","Coastal","SLA","Newport: Balboa Bay","Los Angeles",NA,33.59,-117.88,"Holocene",NA,1910,1911,NA,NA,15.59793973,2.127915209,24.13,13.72,18.2,0.57,3.3,0.51,NA,"intertidal",0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.143640041,1.143640041,"no",NA
"149",203,"CAS","185180","Smith","Southern California Bight","Orange","Coastal","SLA","Newport: Balboa Bay","Los Angeles",NA,33.59,-117.88,"Holocene",NA,1910,1911,NA,NA,15.59793973,2.127915209,25.65,15.24,19.77,0.59,3.3,0.76,NA,"intertidal",0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.143640041,1.143640041,"no",NA
"150",204,"CAS","185180","Smith","Southern California Bight","Orange","Coastal","SLA","Newport: Balboa Bay","Los Angeles",NA,33.59,-117.88,"Holocene",NA,1910,1911,NA,NA,15.59793973,2.127915209,24.64,14.99,19.22,0.61,3.56,0.51,NA,"intertidal",0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.143640041,1.143640041,"no",NA
"151",205,"CAS","185180","Smith","Southern California Bight","Orange","Coastal","SLA","Newport: Balboa Bay","Los Angeles",NA,33.59,-117.88,"Holocene",NA,1910,1911,NA,NA,15.59793973,2.127915209,23.37,14.99,18.72,0.64,3.56,0.51,NA,"intertidal",0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.143640041,1.143640041,"no",NA
"152",206,"CAS","185180","Smith","Southern California Bight","Orange","Coastal","SLA","Newport: Balboa Bay","Los Angeles",NA,33.59,-117.88,"Holocene",NA,1910,1911,NA,NA,15.59793973,2.127915209,24.89,14.22,18.81,0.57,3.56,0.76,NA,"intertidal",0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.143640041,1.143640041,"no",NA
"153",224,"CAS","217554","Smith","Southern California Bight","Orange","Coastal","SLA","Newport: Balboa Bay","Los Angeles",NA,33.6,-117.89,"Holocene",NA,1910,1916,NA,NA,15.14970239,1.500141934,11.25,6.77,8.73,0.6,1.48,0.12,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.143640041,1.143640041,"no",NA
"154",225,"CAS","217554","Smith","Southern California Bight","Orange","Coastal","SLA","Newport: Balboa Bay","Los Angeles",NA,33.6,-117.89,"Holocene",NA,1910,1916,NA,NA,15.14970239,1.500141934,11.3,6.94,8.86,0.61,1.52,0.2,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.143640041,1.143640041,"no",NA
"155",226,"CAS","217554","Smith","Southern California Bight","Orange","Coastal","SLA","Newport: Balboa Bay","Los Angeles",NA,33.6,-117.89,"Holocene",NA,1910,1916,NA,NA,15.14970239,1.500141934,14.45,7.79,10.61,0.54,1.71,0.47,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.143640041,1.143640041,"no",NA
"156",227,"CAS","217554","Smith","Southern California Bight","Orange","Coastal","SLA","Newport: Balboa Bay","Los Angeles",NA,33.6,-117.89,"Holocene",NA,1910,1916,NA,NA,15.14970239,1.500141934,20.99,10.57,14.9,0.5,2.1,0.46,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.143640041,1.143640041,"no",NA
"157",228,"CAS","217554","Smith","Southern California Bight","Orange","Coastal","SLA","Newport: Balboa Bay","Los Angeles",NA,33.6,-117.89,"Holocene",NA,1910,1916,NA,NA,15.14970239,1.500141934,16.05,9.06,12.06,0.56,2.11,0.36,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.143640041,1.143640041,"no",NA
"158",229,"CAS","204236","Smith","Southern California Bight","Orange","Coastal","SLA","Newport: Balboa Bay","Los Angeles",NA,33.59,-117.88,"Holocene",NA,1910,1916,NA,NA,15.14970239,1.500141934,18.29,9.4,13.11,0.51,2.03,0.51,NA,"intertidal",0,0,1,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.143640041,1.143640041,"no",NA
"159",230,"CAS","204236","Smith","Southern California Bight","Orange","Coastal","SLA","Newport: Balboa Bay","Los Angeles",NA,33.59,-117.88,"Holocene",NA,1910,1916,NA,NA,15.14970239,1.500141934,22.1,12.19,16.41,0.55,2.54,0.51,NA,"intertidal",0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.143640041,1.143640041,"no",NA
"160",231,"CAS","204236","Smith","Southern California Bight","Orange","Coastal","SLA","Newport: Balboa Bay","Los Angeles",NA,33.59,-117.88,"Holocene",NA,1910,1916,NA,NA,15.14970239,1.500141934,21.08,11.43,15.52,0.54,2.79,0.25,NA,"intertidal",0,0,1,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.143640041,1.143640041,"no",NA
"161",232,"CAS","204236","Smith","Southern California Bight","Orange","Coastal","SLA","Newport: Balboa Bay","Los Angeles",NA,33.59,-117.88,"Holocene",NA,1910,1916,NA,NA,15.14970239,1.500141934,24.13,13.72,18.2,0.57,2.79,0.51,NA,"intertidal",0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.143640041,1.143640041,"no",NA
"162",233,"CAS","204236","Smith","Southern California Bight","Orange","Coastal","SLA","Newport: Balboa Bay","Los Angeles",NA,33.59,-117.88,"Holocene",NA,1910,1916,NA,NA,15.14970239,1.500141934,24.13,13.21,17.85,0.55,3.05,0.25,NA,"intertidal",0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.143640041,1.143640041,"no",NA
"163",234,"CAS","204236","Smith","Southern California Bight","Orange","Coastal","SLA","Newport: Balboa Bay","Los Angeles",NA,33.59,-117.88,"Holocene",NA,1910,1916,NA,NA,15.14970239,1.500141934,24.13,12.7,17.51,0.53,3.05,0.51,NA,"intertidal",0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.143640041,1.143640041,"no",NA
"164",235,"CAS","204236","Smith","Southern California Bight","Orange","Coastal","SLA","Newport: Balboa Bay","Los Angeles",NA,33.59,-117.88,"Holocene",NA,1910,1916,NA,NA,15.14970239,1.500141934,27.69,14.73,20.2,0.53,3.05,0.51,NA,"intertidal",0,0,1,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.143640041,1.143640041,"no",NA
"165",236,"CAS","204236","Smith","Southern California Bight","Orange","Coastal","SLA","Newport: Balboa Bay","Los Angeles",NA,33.59,-117.88,"Holocene",NA,1910,1916,NA,NA,15.14970239,1.500141934,25.4,13.72,18.67,0.54,3.05,0.76,NA,"intertidal",0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.143640041,1.143640041,"no",NA
"166",237,"CAS","204236","Smith","Southern California Bight","Orange","Coastal","SLA","Newport: Balboa Bay","Los Angeles",NA,33.59,-117.88,"Holocene",NA,1910,1916,NA,NA,15.14970239,1.500141934,29.46,15.24,21.19,0.52,3.3,0.25,NA,"intertidal",0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.143640041,1.143640041,"no",NA
"167",238,"CAS","204236","Smith","Southern California Bight","Orange","Coastal","SLA","Newport: Balboa Bay","Los Angeles",NA,33.59,-117.88,"Holocene",NA,1910,1916,NA,NA,15.14970239,1.500141934,28.19,15.49,20.9,0.55,3.56,0.51,NA,"intertidal",0,0,1,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.143640041,1.143640041,"no",NA
"168",239,"CAS","217523","Han","Southern California Bight","Los Angeles","Off Shore","CAT","Santa Catalina Island: Long Point","CAT","Large",33.41,-118.37,"Holocene",NA,1930,1930,NA,NA,16.27356927,1.61852401,8.55,5.53,6.88,0.65,0.93,0.4,NA,"deep",0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"no",NA
"169",240,"CAS","217523","Han","Southern California Bight","Los Angeles","Off Shore","CAT","Santa Catalina Island: Long Point","CAT","Large",33.41,-118.37,"Holocene",NA,1930,1930,NA,NA,16.27356927,1.61852401,9.77,6.07,7.7,0.62,1.27,0.37,NA,"deep",1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"no",NA
"170",241,"CAS","217523","Han","Southern California Bight","Los Angeles","Off Shore","CAT","Santa Catalina Island: Long Point","CAT","Large",33.41,-118.37,"Holocene",NA,1930,1930,NA,NA,16.27356927,1.61852401,12.02,7.18,9.29,0.6,1.62,0.24,NA,"deep",0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"no",NA
"171",242,"CAS","217523","Han","Southern California Bight","Los Angeles","Off Shore","CAT","Santa Catalina Island: Long Point","CAT","Large",33.41,-118.37,"Holocene",NA,1930,1930,NA,NA,16.27356927,1.61852401,13.45,8.48,10.68,0.63,1.83,0.4,NA,"deep",0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"no",NA
"172",244,"CAS","217523","Han","Southern California Bight","Los Angeles","Off Shore","CAT","Santa Catalina Island: Long Point","CAT","Large",33.41,-118.37,"Holocene",NA,1930,1930,NA,NA,16.27356927,1.61852401,17.13,10.7,13.54,0.63,2.35,0.31,NA,"deep",0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"no",NA
"173",245,"CAS","217523","Han","Southern California Bight","Los Angeles","Off Shore","CAT","Santa Catalina Island: Long Point","CAT","Large",33.41,-118.37,"Holocene",NA,1930,1930,NA,NA,16.27356927,1.61852401,18.44,10.7,14.05,0.58,2.64,0.38,NA,"deep",1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"no",NA
"174",246,"CAS","217523","Han","Southern California Bight","Los Angeles","Off Shore","CAT","Santa Catalina Island: Long Point","CAT","Large",33.41,-118.37,"Holocene",NA,1930,1930,NA,NA,16.27356927,1.61852401,22.42,13.36,17.31,0.6,2.71,0.65,NA,"deep",1,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"no",NA
"175",247,"CAS","217523","Han","Southern California Bight","Los Angeles","Off Shore","CAT","Santa Catalina Island: Long Point","CAT","Large",33.41,-118.37,"Holocene",NA,1930,1930,NA,NA,16.27356927,1.61852401,23.13,12.63,17.09,0.55,3,0.63,NA,"deep",1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"no",NA
"176",249,"CAS","217537","Zaca","Northern California","Ventura","Off Shore","SNI","San Nicolas Island: North of","SNI","Medium",33.27,-119.5,"Holocene",NA,1930,1932,NA,NA,15.30885776,1.519003312,16.2,10.1,12.79,0.62,2.19,0.6,NA,"deep",0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no",NA
"177",250,"CAS","217537","Zaca","Northern California","Ventura","Off Shore","SNI","San Nicolas Island: North of","SNI","Medium",33.27,-119.5,"Holocene",NA,1930,1932,NA,NA,15.30885776,1.519003312,25.61,14,18.94,0.55,2.42,0.35,NA,"deep",0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no",NA
"178",265,"CAS","217546","McClure","Southern California Bight","Orange","Coastal","SLA","Newport: Balboa Bay","Los Angeles",NA,33.6,-117.89,"Holocene",NA,1930,1936,NA,NA,16.72717158,2.062172763,15.93,9.84,12.52,0.62,1.99,0.43,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.84399986,11.84399986,"no",NA
"179",266,"CAS","217546","McClure","Southern California Bight","Orange","Coastal","SLA","Newport: Balboa Bay","Los Angeles",NA,33.6,-117.89,"Holocene",NA,1930,1936,NA,NA,16.72717158,2.062172763,15.49,9.27,11.98,0.6,2.01,0.35,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.84399986,11.84399986,"no",NA
"180",267,"CAS","217546","McClure","Southern California Bight","Orange","Coastal","SLA","Newport: Balboa Bay","Los Angeles",NA,33.6,-117.89,"Holocene",NA,1930,1936,NA,NA,16.72717158,2.062172763,15.66,8.57,11.58,0.55,2.13,0.4,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.84399986,11.84399986,"no",NA
"181",268,"CAS","217546","McClure","Southern California Bight","Orange","Coastal","SLA","Newport: Balboa Bay","Los Angeles",NA,33.6,-117.89,"Holocene",NA,1930,1936,NA,NA,16.72717158,2.062172763,16.32,10.03,12.79,0.62,2.28,0.27,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.84399986,11.84399986,"no",NA
"182",269,"CAS","217546","McClure","Southern California Bight","Orange","Coastal","SLA","Newport: Balboa Bay","Los Angeles",NA,33.6,-117.89,"Holocene",NA,1930,1936,NA,NA,16.72717158,2.062172763,17.91,10.83,13.93,0.61,2.35,0.33,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.84399986,11.84399986,"no",NA
"183",270,"CAS","217546","McClure","Southern California Bight","Orange","Coastal","SLA","Newport: Balboa Bay","Los Angeles",NA,33.6,-117.89,"Holocene",NA,1930,1936,NA,NA,16.72717158,2.062172763,17.1,10.06,13.12,0.59,2.37,0.31,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.84399986,11.84399986,"no",NA
"184",278,"CAS","214551","Hullman","Southern California Bight","Orange","Coastal","SLA","Newport: Balboa Bay","Los Angeles",NA,33.61,-117.92,"Holocene",NA,1930,1938,NA,NA,16.4881897,1.640639489,15.44,8.85,11.69,0.57,1.95,0.28,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.14299965,12.14299965,"no",NA
"185",279,"CAS","214551","Hullman","Southern California Bight","Orange","Coastal","SLA","Newport: Balboa Bay","Los Angeles",NA,33.61,-117.92,"Holocene",NA,1930,1938,NA,NA,16.4881897,1.640639489,18.81,10.79,14.25,0.57,1.97,0.58,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.14299965,12.14299965,"no",NA
"186",280,"CAS","214551","Hullman","Southern California Bight","Orange","Coastal","SLA","Newport: Balboa Bay","Los Angeles",NA,33.61,-117.92,"Holocene",NA,1930,1938,NA,NA,16.4881897,1.640639489,17.62,9.52,12.95,0.54,2.2,0.46,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.14299965,12.14299965,"no",NA
"187",281,"CAS","214551","Hullman","Southern California Bight","Orange","Coastal","SLA","Newport: Balboa Bay","Los Angeles",NA,33.61,-117.92,"Holocene",NA,1930,1938,NA,NA,16.4881897,1.640639489,21.03,11.81,15.76,0.56,2.22,0.46,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.14299965,12.14299965,"no",NA
"188",282,"CAS","214551","Hullman","Southern California Bight","Orange","Coastal","SLA","Newport: Balboa Bay","Los Angeles",NA,33.61,-117.92,"Holocene",NA,1930,1938,NA,NA,16.4881897,1.640639489,19.23,9.87,13.78,0.51,2.33,0.24,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.14299965,12.14299965,"no",NA
"189",283,"CAS","214551","Hullman","Southern California Bight","Orange","Coastal","SLA","Newport: Balboa Bay","Los Angeles",NA,33.61,-117.92,"Holocene",NA,1930,1938,NA,NA,16.4881897,1.640639489,19.55,11.01,14.67,0.56,2.75,0.23,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.14299965,12.14299965,"no",NA
"190",284,"CAS","204232","Hewatt","Southern California Bight","Los Angeles","Off Shore","SCZI","Santa Cruz Island: Scorpion Harbor","National Park","Large",34.05,-119.55,"Holocene",NA,1930,1939,NA,NA,15.50811776,2.121849591,18.8,11.43,14.66,0.61,2.54,0.25,NA,"intertidal",0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.806922972,0.806922972,"no",NA
"191",285,"CAS","204232","Hewatt","Southern California Bight","Los Angeles","Off Shore","SCZI","Santa Cruz Island: Scorpion Harbor","National Park","Large",34.05,-119.55,"Holocene",NA,1930,1939,NA,NA,15.50811776,2.121849591,22.61,12.7,16.95,0.56,3.05,0.25,NA,"intertidal",1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.806922972,0.806922972,"no",NA
"192",286,"CAS","204232","Hewatt","Southern California Bight","Los Angeles","Off Shore","SCZI","Santa Cruz Island: Scorpion Harbor","National Park","Large",34.05,-119.55,"Holocene",NA,1930,1939,NA,NA,15.50811776,2.121849591,24.13,14.48,18.69,0.6,3.05,0.51,NA,"intertidal",0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.806922972,0.806922972,"no",NA
"193",287,"CAS","204232","Hewatt","Southern California Bight","Los Angeles","Off Shore","SCZI","Santa Cruz Island: Scorpion Harbor","National Park","Large",34.05,-119.55,"Holocene",NA,1930,1939,NA,NA,15.50811776,2.121849591,29.46,17.02,22.39,0.58,3.3,0.76,NA,"intertidal",0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.806922972,0.806922972,"no",NA
"194",288,"CAS","204233","Hewatt","Southern California Bight","Los Angeles","Off Shore","SCZI","Santa Cruz Island: Scorpion Harbor","National Park","Large",34.05,-119.55,"Holocene",NA,1930,1939,NA,NA,15.50811776,2.121849591,18.03,10.92,14.03,0.61,2.03,0.76,NA,"intertidal",0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no",NA
"195",289,"CAS","204233","Hewatt","Southern California Bight","Los Angeles","Off Shore","SCZI","Santa Cruz Island: Scorpion Harbor","National Park","Large",34.05,-119.55,"Holocene",NA,1930,1939,NA,NA,15.50811776,2.121849591,14.99,8.64,11.38,0.58,2.29,0.25,NA,"intertidal",0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no",NA
"196",290,"CAS","163404","Burch","Southern California Bight","Los Angeles","Coastal","LA","Redondo Beach","Los Angeles",NA,33.84,-118.39,"Holocene",NA,1940,1940,"Summer",8,16.74628806,1.192287243,8.52,4.93,6.48,0.58,1.31,0.36,"sand","deep",0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,272.04599,272.04599,"no",NA
"197",291,"CAS","163404","Burch","Southern California Bight","Los Angeles","Coastal","LA","Redondo Beach","Los Angeles",NA,33.84,-118.39,"Holocene",NA,1940,1940,"Summer",8,16.74628806,1.192287243,9.65,5.89,7.54,0.61,1.4,0.42,"sand","deep",0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,272.04599,272.04599,"no",NA
"198",292,"CAS","163404","Burch","Southern California Bight","Los Angeles","Coastal","LA","Redondo Beach","Los Angeles",NA,33.84,-118.39,"Holocene",NA,1940,1940,"Summer",8,16.74628806,1.192287243,9.83,5.87,7.6,0.6,1.44,0.25,"sand","deep",1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,272.04599,272.04599,"no",NA
"199",293,"CAS","163404","Burch","Southern California Bight","Los Angeles","Coastal","LA","Redondo Beach","Los Angeles",NA,33.84,-118.39,"Holocene",NA,1940,1940,"Summer",8,16.74628806,1.192287243,9.28,5.72,7.29,0.62,1.46,0.23,"sand","deep",0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,272.04599,272.04599,"no",NA
"200",294,"CAS","163404","Burch","Southern California Bight","Los Angeles","Coastal","LA","Redondo Beach","Los Angeles",NA,33.84,-118.39,"Holocene",NA,1940,1940,"Summer",8,16.74628806,1.192287243,10.9,6.25,8.25,0.57,1.59,0.23,"sand","deep",0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,272.04599,272.04599,"no",NA
"201",295,"CAS","163404","Burch","Southern California Bight","Los Angeles","Coastal","LA","Redondo Beach","Los Angeles",NA,33.84,-118.39,"Holocene",NA,1940,1940,NA,NA,16.74628806,1.192287243,10.34,6.81,8.39,0.66,1.66,0.36,"sand","deep",0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,272.04599,272.04599,"no",NA
"202",296,"CAS","163404","Burch","Southern California Bight","Los Angeles","Coastal","LA","Redondo Beach","Los Angeles",NA,33.84,-118.39,"Holocene",NA,1940,1940,"Summer",8,16.74628806,1.192287243,12.24,6.78,9.11,0.55,1.67,0.25,"sand","deep",0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,272.04599,272.04599,"no",NA
"203",297,"CAS","163404","Burch","Southern California Bight","Los Angeles","Coastal","LA","Redondo Beach","Los Angeles",NA,33.84,-118.39,"Holocene",NA,1940,1940,"Summer",7,16.74628806,1.192287243,10.24,6.36,8.07,0.62,1.68,0.19,"sand","deep",0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,272.04599,272.04599,"no",NA
"204",298,"CAS","163404","Burch","Southern California Bight","Los Angeles","Coastal","LA","Redondo Beach","Los Angeles",NA,33.84,-118.39,"Holocene",NA,1940,1940,"Summer",7,16.74628806,1.192287243,10.57,7.21,8.73,0.68,1.71,0.38,"sand","deep",1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,272.04599,272.04599,"no",NA
