"Specimen_Number","Collection","Lot_Number","Collector","Ecoregion","County","Coastal_Proximity","Location","Site","SoCal_Group","Island_Size","Latitude","Longitude","Epoch","Formation","Decade","Year","Season","Month","Mean_SST","Mean_SST_Sdev","Length_mm","Width_mm","Geometric_Mean","Globosity_WoverL","Aperture_mm","Thickness_mm","Habitat","Depth","BRY","BAR","LMP","TWS","COR","ALG","SCR","BOR_TAP","BOR_STR","BOR_INC","mean_pvolc3","sd_pvolc3","zooplankton_n_points_used","zooplankton_mean_distance","fish_total_catch_wt_kg","fish_cpue_kg_per_ha_der","sd_total_catch_wt_kg","sd_cpue_kg_per_ha_der","fish_n_points_used","fish_mean_distance","Population_Density","Population_Density_NoBaja","MPA","Image_url"
306,"CAS","163404","Burch","Southern California Bight","Los Angeles","Coastal","LA","Redondo Beach","Los Angeles",NA,33.84,-118.39,"Holocene",NA,1940,1940,"Summer",7,16.74628806,1.192287243,13.67,8.66,10.88,0.63,1.98,0.39,"sand","deep","0","0","0","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"272.04599","272.04599","no",NA
307,"CAS","163404","Burch","Southern California Bight","Los Angeles","Coastal","LA","Redondo Beach","Los Angeles",NA,33.84,-118.39,"Holocene",NA,1940,1940,"Summer",7,16.74628806,1.192287243,14.19,8.6,11.05,0.61,2,0.57,"sand","deep","0","0","0","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"272.04599","272.04599","no",NA
308,"CAS","163404","Burch","Southern California Bight","Los Angeles","Coastal","LA","Redondo Beach","Los Angeles",NA,33.84,-118.39,"Holocene",NA,1940,1940,"Summer",8,16.74628806,1.192287243,12.76,8.11,10.17,0.64,2.02,0.44,"sand","deep","0","0","0","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"272.04599","272.04599","no",NA
309,"CAS","163404","Burch","Southern California Bight","Los Angeles","Coastal","LA","Redondo Beach","Los Angeles",NA,33.84,-118.39,"Holocene",NA,1940,1940,NA,NA,16.74628806,1.192287243,15.69,9.94,12.49,0.63,2.04,0.36,"sand","deep","0","0","0","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"272.04599","272.04599","no",NA
310,"CAS","163404","Burch","Southern California Bight","Los Angeles","Coastal","LA","Redondo Beach","Los Angeles",NA,33.84,-118.39,"Holocene",NA,1940,1940,NA,NA,16.74628806,1.192287243,16.26,9.84,12.65,0.61,2.04,0.52,"sand","deep","0","0","0","0","0","1","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"272.04599","272.04599","no",NA
311,"CAS","163404","Burch","Southern California Bight","Los Angeles","Coastal","LA","Redondo Beach","Los Angeles",NA,33.84,-118.39,"Holocene",NA,1940,1940,NA,NA,16.74628806,1.192287243,18.12,10.88,14.04,0.6,2.13,0.55,"sand","deep","0","0","0","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"272.04599","272.04599","no",NA
312,"CAS","163404","Burch","Southern California Bight","Los Angeles","Coastal","LA","Redondo Beach","Los Angeles",NA,33.84,-118.39,"Holocene",NA,1940,1940,"Summer",7,16.74628806,1.192287243,17.8,10.26,13.51,0.58,2.16,0.79,"sand","deep","0","0","0","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"272.04599","272.04599","no",NA
313,"CAS","163404","Burch","Southern California Bight","Los Angeles","Coastal","LA","Redondo Beach","Los Angeles",NA,33.84,-118.39,"Holocene",NA,1940,1940,"Spring",6,16.74628806,1.192287243,16.54,9.67,12.65,0.59,2.19,0.38,"sand","deep","0","1","0","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"272.04599","272.04599","no",NA
314,"CAS","163404","Burch","Southern California Bight","Los Angeles","Coastal","LA","Redondo Beach","Los Angeles",NA,33.84,-118.39,"Holocene",NA,1940,1940,"Spring",6,16.74628806,1.192287243,16.87,10.51,13.32,0.62,2.2,0.34,"sand","deep","0","0","0","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"272.04599","272.04599","no",NA
315,"CAS","163404","Burch","Southern California Bight","Los Angeles","Coastal","LA","Redondo Beach","Los Angeles",NA,33.84,-118.39,"Holocene",NA,1940,1940,"Spring",6,16.74628806,1.192287243,15.7,9.7,12.34,0.62,2.29,0.37,"sand","deep","0","0","0","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"272.04599","272.04599","no",NA
316,"CAS","163404","Burch","Southern California Bight","Los Angeles","Coastal","LA","Redondo Beach","Los Angeles",NA,33.84,-118.39,"Holocene",NA,1940,1940,NA,NA,16.74628806,1.192287243,18.85,10.9,14.33,0.58,2.29,0.69,"sand","deep","0","0","0","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"272.04599","272.04599","no",NA
317,"CAS","163404","Burch","Southern California Bight","Los Angeles","Coastal","LA","Redondo Beach","Los Angeles",NA,33.84,-118.39,"Holocene",NA,1940,1940,NA,NA,16.74628806,1.192287243,14.92,9.32,11.79,0.63,2.33,0.36,"sand","deep","1","0","0","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"272.04599","272.04599","no",NA
318,"CAS","163404","Burch","Southern California Bight","Los Angeles","Coastal","LA","Redondo Beach","Los Angeles",NA,33.84,-118.39,"Holocene",NA,1940,1940,"Summer",7,16.74628806,1.192287243,15.88,9.6,12.35,0.61,2.33,0.47,"sand","deep","0","0","0","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"272.04599","272.04599","no",NA
319,"CAS","163404","Burch","Southern California Bight","Los Angeles","Coastal","LA","Redondo Beach","Los Angeles",NA,33.84,-118.39,"Holocene",NA,1940,1940,NA,NA,16.74628806,1.192287243,13.94,9.87,11.73,0.71,2.42,0.84,"sand","deep","0","0","0","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no",NA
320,"CAS","163404","Burch","Southern California Bight","Los Angeles","Coastal","LA","Redondo Beach","Los Angeles",NA,33.84,-118.39,"Holocene",NA,1940,1940,NA,NA,16.74628806,1.192287243,17.86,10.36,13.6,0.58,2.53,0.4,"sand","deep","0","0","0","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"272.04599","272.04599","no",NA
321,"CAS","163404","Burch","Southern California Bight","Los Angeles","Coastal","LA","Redondo Beach","Los Angeles",NA,33.84,-118.39,"Holocene",NA,1940,1940,NA,NA,16.74628806,1.192287243,17.02,10.81,13.56,0.64,2.67,0.54,"sand","deep","0","0","0","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"272.04599","272.04599","no",NA
322,"CAS","163404","Burch","Southern California Bight","Los Angeles","Coastal","LA","Redondo Beach","Los Angeles",NA,33.84,-118.39,"Holocene",NA,1940,1940,"Summer",7,16.74628806,1.192287243,19.05,11.05,14.51,0.58,2.76,0.39,"sand","deep","0","0","0","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"272.04599","272.04599","no",NA
323,"CAS","163404","Burch","Southern California Bight","Los Angeles","Coastal","LA","Redondo Beach","Los Angeles",NA,33.84,-118.39,"Holocene",NA,1940,1940,NA,NA,16.74628806,1.192287243,22.25,13.06,17.05,0.59,3.05,0.92,"sand","deep","0","0","0","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"272.04599","272.04599","no",NA
324,"CAS","163404","Burch","Southern California Bight","Los Angeles","Coastal","LA","Redondo Beach","Los Angeles",NA,33.84,-118.39,"Holocene",NA,1940,1940,"Spring",6,16.74628806,1.192287243,25.12,15.66,19.83,0.62,3.26,0.49,"sand","deep","0","0","0","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"272.04599","272.04599","no",NA
325,"CAS","163404","Burch","Southern California Bight","Los Angeles","Coastal","LA","Redondo Beach","Los Angeles",NA,33.84,-118.39,"Holocene",NA,1940,1940,NA,NA,16.74628806,1.192287243,37.36,19,26.64,0.51,3.43,0.85,"sand","deep","0","0","0","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"272.04599","272.04599","no",NA
326,"CAS","163404","Burch","Southern California Bight","Los Angeles","Coastal","LA","Redondo Beach","Los Angeles",NA,33.84,-118.39,"Holocene",NA,1940,1940,"Spring",6,16.74628806,1.192287243,32.83,19.01,24.98,0.58,3.55,0.77,"sand","deep","0","1","0","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"272.04599","272.04599","no",NA
327,"CAS","163404","Burch","Southern California Bight","Los Angeles","Coastal","LA","Redondo Beach","Los Angeles",NA,33.84,-118.39,"Holocene",NA,1940,1940,NA,NA,16.74628806,1.192287243,32.81,18.73,24.79,0.57,3.82,1.22,"sand","deep","0","0","0","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"272.04599","272.04599","no",NA
328,"CAS","163404","Burch","Southern California Bight","Los Angeles","Coastal","LA","Redondo Beach","Los Angeles",NA,33.84,-118.39,"Holocene",NA,1940,1940,"Spring",6,16.74628806,1.192287243,32.59,18.92,24.83,0.58,3.87,0.55,"sand","deep","0","0","0","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"272.04599","272.04599","no",NA
329,"iNat","5860","kueda","Northern California","Santa Barbara","Coastal","SB","Naples Point","Santa Barbara",NA,34.43,-119.95,"Anthropocene",NA,2010,2010,"Winter",2,15.11894377,1.162856141,NA,NA,NA,0.53,NA,NA,"sand",NA,"0","0","0","0","0","0","0","0","0","0","109.2249322","168.9643995","684","2.683587631","9.761564578","5.641974821","46.73267771","26.45534617","7340","1.643709867","4.836689949","4.836689949","no","https://static.inaturalist.org/photos/11423/medium.jpg?1444280867"
330,"iNat","684619","kueda","Northern California","San Luis Obispo","Coastal","MB","Cayucos Point",NA,NA,35.45,-120.95,"Anthropocene",NA,2010,2014,"Spring",5,15.94290964,2.079620187,NA,NA,NA,0.57,NA,NA,NA,NA,"0","0","0","0","0","0","0","0","0","0","145.4347826","200.2159764","465","3.793144352","9.587187414","5.743608486","41.34684707","25.72742027","6567","1.908703927","2.436249971","2.436249971","no","https://static.inaturalist.org/photos/861830/medium.jpg?1400469311"
331,"iNat","2464402","finatic","Southern California Bight","San Diego","Coastal","SD","San Diego: Seaside State Beach ","San Diego",NA,33,-117.28,"Anthropocene",NA,2010,2015,"Fall",12,18.92531824,2.265693993,NA,NA,NA,0.54,NA,NA,"rocky reef or intertidal",NA,"0","0","0","0","0","0","0","0","0","0","112.224026","210.2821863","581","3.12780351","9.674606661","5.353431506","50.60583372","29.07477641","6519","3.474773023","1333.97998","1333.97998","no","https://static.inaturalist.org/photos/2756666/medium.jpg?1449675719"
332,"iNat","4578865","tiyumq","Southern California Bight","Santa Barbara","Coastal","SB","Carpinteria","Santa Barbara",NA,34.4,-119.53,"Anthropocene",NA,2010,2016,"Fall",11,16.50741609,1.552473919,NA,NA,NA,0.55,NA,NA,NA,NA,"0","0","0","0","0","0","0","0","0","0","147.6875","188.2652926","207","2.843300152","10.5958125","6.124803012","55.54834077","35.42297047","3676","1.795682001","815.3469849","815.3469849","no","https://static.inaturalist.org/photos/5529192/medium.jpeg?1479252981"
333,"iNat","2958659","pliffgrieff","Southern California Bight","Los Angeles","Coastal","LA","White Point","Los Angeles",NA,33.72,-118.34,"Anthropocene",NA,2010,2016,"Spring",4,17.58997146,1.822973466,NA,NA,NA,0.54,NA,NA,NA,NA,"0","0","0","0","0","0","0","0","0","0",NA,NA,"0",NA,"4.422848148","1.70261872","9.449893572","3.63782672","27","0.557845631","2019.640015","2019.640015","no","https://static.inaturalist.org/photos/3395241/medium.jpg?1460920629"
334,"iNat","2874546","pliffgrieff","Southern California Bight","Los Angeles","Coastal","LA","Point Fermin","Los Angeles",NA,33.71,-118.3,"Anthropocene",NA,2010,2016,"Spring",4,17.58997146,1.822973466,NA,NA,NA,0.59,NA,NA,NA,NA,"0","0","0","0","0","0","0","0","0","0",NA,NA,"0",NA,"7.131283553","4.108601095","29.5126385","19.20769565","152","0.596745463","2324.159912","2324.159912","no","https://static.inaturalist.org/photos/3281547/medium.jpg?1459713811"
335,"iNat","5222843","lemurdillo","Southern California Bight","Los Angeles","Coastal","LA","Point Fermin","Los Angeles",NA,33.71,-118.29,"Anthropocene",NA,2010,2016,"Spring",6,17.58997146,1.822973466,NA,NA,NA,0.64,NA,NA,"sand",NA,"0","0","0","0","0","0","0","0","0","0","179","199.4041123","4","0.410121933","6.448551429","3.464979069","18.19123929","11.34400829","140","0.27775255","2335.149902","2335.149902","no","https://static.inaturalist.org/photos/6453558/medium.jpg?1488653525"
336,"iNat","2616212","finatic","Southern California Bight","Orange","Coastal","SLA","Doheny Beach","Los Angeles",NA,33.46,-117.69,"Anthropocene",NA,2010,2016,"Winter",1,17.83443904,1.906688378,NA,NA,NA,0.52,NA,NA,"sand",NA,"0","0","0","0","0","0","0","0","0","0","146.1904762","140.1472865","42","0.55470713","6.650782274","3.559567815","23.04360971","13.70961209","299","0.70810416","1168.47998","1168.47998","no","https://static.inaturalist.org/photos/2926628/medium.jpg?1453743447"
337,"iNat","4420137","finatic","Southern California Bight","San Diego","Coastal","SD","La Jolla: Nicholson Point ","San Diego",NA,32.84,-117.28,"Anthropocene",NA,2010,2016,"Fall",10,17.97017272,1.879419419,NA,NA,NA,0.54,NA,NA,NA,NA,"0","0","0","0","0","0","0","0","0","0",NA,NA,"0",NA,"31.7502713","26.84217294","231.3469491","216.4078776","216","0.895869243","1662.060059","1662.060059","no","https://static.inaturalist.org/photos/5314740/medium.jpg?1477239115"
338,"iNat","4420154","finatic","Southern California Bight","San Diego","Coastal","SD","La Jolla: Nicholson Point ","San Diego",NA,32.84,-117.28,"Anthropocene",NA,2010,2016,"Fall",10,17.97017272,1.879419419,NA,NA,NA,0.59,NA,NA,NA,NA,"0","0","0","0","0","0","0","0","0","0",NA,NA,"0",NA,"31.7502713","26.84217294","231.3469491","216.4078776","216","0.895869243","1662.060059","1662.060059","no","https://static.inaturalist.org/photos/5314799/medium.jpg?1477239285"
339,"iNat","2624986","finatic","Southern California Bight","San Diego","Coastal","SD","San Diego: Seaside State Beach ","San Diego",NA,33.01,-117.28,"Anthropocene",NA,2010,2016,"Winter",1,17.83443904,1.906688378,NA,NA,NA,0.58,NA,NA,"rocky reef or intertidal",NA,"0","0","0","0","0","0","0","0","0","0",NA,NA,"0",NA,"10.21915766","5.967870186","28.64273196","16.80684859","111","1.748093046","1277.810059","1277.810059","no","https://static.inaturalist.org/photos/2939573/medium.jpg?1454009258"
340,"iNat","4364229","finatic","Southern California Bight","San Diego","Coastal","SD","San Diego: Seaside State Beach ","San Diego",NA,33.02,-117.28,"Anthropocene",NA,2010,2016,"Spring",4,17.83443904,1.906688378,NA,NA,NA,0.56,NA,NA,"rocky reef or intertidal",NA,"0","0","0","0","0","0","0","0","0","0",NA,NA,"0",NA,NA,NA,NA,NA,"0",NA,"1277.810059","1277.810059","no","https://static.inaturalist.org/photos/5228175/medium.jpg?1476559985"
341,"iNat","2625614","finatic","Southern California Bight","San Diego","Coastal","SD","San Diego: Seaside State Beach ","San Diego",NA,33.02,-117.28,"Anthropocene",NA,2010,2016,"Winter",1,17.83443904,1.906688378,NA,NA,NA,0.6,NA,NA,"rocky reef or intertidal",NA,"0","0","0","0","0","0","0","0","0","0",NA,NA,"0",NA,NA,NA,NA,NA,"0",NA,"1277.810059","1277.810059","no","https://static.inaturalist.org/photos/2940296/medium.jpg?1454020954"
342,"iNat","2625635","finatic","Southern California Bight","San Diego","Coastal","SD","San Diego: Seaside State Beach ","San Diego",NA,33.02,-117.28,"Anthropocene",NA,2010,2016,"Winter",1,17.83443904,1.906688378,NA,NA,NA,0.62,NA,NA,"rocky reef or intertidal",NA,"0","0","0","0","0","0","0","0","0","0",NA,NA,"0",NA,NA,NA,NA,NA,"0",NA,"1277.810059","1277.810059","no","https://static.inaturalist.org/photos/2940324/medium.jpg?1454021279"
343,"iNat","2889073","finatic","Southern California Bight","San Diego","Coastal","SD","San Diego: Del Mar","San Diego",NA,32.95,-117.27,"Anthropocene",NA,2010,2016,"Spring",4,17.97017272,1.879419419,NA,NA,NA,0.64,NA,NA,NA,NA,"0","0","0","0","0","0","0","0","0","0","97","67.24852144","24","0.274590604",NA,NA,NA,NA,"0",NA,"1449.5","1449.5","no","https://static.inaturalist.org/photos/3302756/medium.jpg?1459957342"
344,"iNat","4597597","alex_bairstow","Southern California Bight","San Diego","Coastal","SD","South Point Loma","San Diego",NA,32.67,-117.25,"Anthropocene",NA,2010,2016,"Fall",11,17.97017272,1.879419419,NA,NA,NA,0.52,NA,NA,"sand",NA,"0","0","0","0","0","0","0","0","0","0","51.66666667","41.49771808","24","1.005683847",NA,NA,NA,NA,"0",NA,"1627.109985","1627.109985","no","https://static.inaturalist.org/photos/5557215/medium.jpeg?1479526395"
345,"iNat","2788627","matthew_salkiewicz","Southern California Bight","San Diego","Coastal","SD","South Point Loma","San Diego",NA,32.67,-117.24,"Anthropocene",NA,2010,2016,"Winter",3,17.97017272,1.879419419,NA,NA,NA,0.58,NA,NA,"algae forest",NA,"0","0","0","0","0","0","0","0","0","0",NA,NA,"0",NA,NA,NA,NA,NA,"0",NA,"1627.109985","1627.109985","no","https://static.inaturalist.org/photos/3163761/medium.JPG?1458100375"
346,"iNat","2591768","finatic","Southern California Bight","San Diego","Coastal","SD","San Diego: Tijuana Slough National Wildlife Refuge","San Diego",NA,32.56,-117.13,"Anthropocene",NA,2010,2016,"Winter",1,17.97017272,1.879419419,NA,NA,NA,0.55,NA,NA,NA,NA,"0","0","0","0","0","0","0","0","0","0",NA,NA,"0",NA,NA,NA,NA,NA,"0",NA,"1422.800049","1422.800049","no","https://static.inaturalist.org/photos/2897656/medium.jpg?1453132882"
347,"iNat","2599643","finatic","Southern California Bight","San Diego","Coastal","SD","San Diego: Tijuana Slough National Wildlife Refuge","San Diego",NA,32.56,-117.13,"Anthropocene",NA,2010,2016,"Winter",1,17.97017272,1.879419419,NA,NA,NA,0.59,NA,NA,NA,NA,"0","0","0","0","0","0","0","0","0","0",NA,NA,"0",NA,NA,NA,NA,NA,"0",NA,"1422.800049","1422.800049","no","https://static.inaturalist.org/photos/2902734/medium.jpg?1453239754"
348,"iNat","9347113","lemurdillo","Northern California","Monterey","Coastal","BS","Sand Dollar Beach: Plaskett",NA,NA,35.92,-121.47,"Anthropocene",NA,2010,2017,"Fall",12,15.21221693,1.51529412,NA,NA,NA,0.52,NA,NA,"sand",NA,"0","0","0","0","0","0","0","0","0","0","367.4054054","385.8342663","70","2.164653156","11.59668542","6.271666333","31.70929316","17.29381587","2069","0.807321125","2.997659922","2.997659922","no","https://static.inaturalist.org/photos/12684228/medium.jpg?1514926883"
349,"iNat","9348073","lemurdillo","Northern California","Monterey","Coastal","BS","Sand Dollar Beach: Plaskett",NA,NA,35.92,-121.47,"Anthropocene",NA,2010,2017,"Fall",12,15.21221693,1.51529412,NA,NA,NA,0.6,NA,NA,"sand",NA,"0","0","0","0","0","0","0","0","0","0","367.4054054","385.8342663","70","2.164653156","11.59668542","6.271666333","31.70929316","17.29381587","2069","0.807321125","2.997659922","2.997659922","no","https://static.inaturalist.org/photos/12685666/medium.jpg?1514932261"
350,"iNat","5002652","tiyumq","Southern California Bight","Santa Barbara","Coastal","SB","Carpinteria","Santa Barbara",NA,34.39,-119.52,"Anthropocene",NA,2010,2017,"Winter",1,16.44574992,1.875877106,NA,NA,NA,0.55,NA,NA,NA,NA,"0","0","0","0","0","0","0","0","0","0","193.86","259.61117","91","2.703022448","11.60949001","6.881350869","49.98454453","30.63994943","1563","1.656936921","794.8049927","794.8049927","no","https://static.inaturalist.org/photos/6115694/medium.jpeg?1485314833"
351,"iNat","5536077","alex_bairstow","Southern California Bight","Santa Barbara","Coastal","SB","Carpinteria","Santa Barbara",NA,34.39,-119.51,"Anthropocene",NA,2010,2017,"Winter",3,16.44574992,1.875877106,NA,NA,NA,0.62,NA,NA,"algae forest",NA,"0","0","0","0","0","0","0","0","0","0",NA,NA,"0",NA,NA,NA,NA,NA,"0",NA,"774.6079712","774.6079712","no","https://static.inaturalist.org/photos/6831687/medium.jpeg?1491097873"
352,"iNat","5060495","dlbowls","Southern California Bight","Santa Barbara","Coastal","SB","Carpinteria","Santa Barbara",NA,34.39,-119.51,"Anthropocene",NA,2010,2017,"Winter",2,16.44574992,1.875877106,NA,NA,NA,0.55,NA,NA,"sand",NA,"0","0","0","0","0","0","0","0","0","0",NA,NA,"0",NA,NA,NA,NA,NA,"0",NA,"774.6079712","774.6079712","no","https://static.inaturalist.org/photos/6206608/medium.jpg?1486347943"
353,"iNat","7256433","dlbowls","Southern California Bight","Santa Barbara","Coastal","SB","Santa Barbara: Rincon ","Santa Barbara",NA,34.37,-119.48,"Anthropocene",NA,2010,2017,"Summer",7,16.44574992,1.875877106,NA,NA,NA,0.5,NA,NA,"gravel",NA,"0","0","0","0","0","0","0","0","0","0","304.75","597.2603524","15","1.465366848","5.673362893","3.512178563","18.32855414","11.28667978","480","0.648078476","0","0","no","https://static.inaturalist.org/photos/9374787/medium.jpg?1501291371"
354,"iNat","6818108","dlbowls","Southern California Bight","Santa Barbara","Coastal","SB","Santa Barbara: Rincon ","Santa Barbara",NA,34.37,-119.48,"Anthropocene",NA,2010,2017,"Spring",6,16.44574992,1.875877106,NA,NA,NA,0.65,NA,NA,NA,NA,"0","0","0","0","0","0","0","0","0","0","304.75","597.2603524","15","1.465366848","5.673362893","3.512178563","18.32855414","11.28667978","480","0.648078476","0","0","no","https://static.inaturalist.org/photos/8677292/medium.jpg?1498532914"
355,"iNat","9030127","tiyumq","Southern California Bight","Santa Barbara","Coastal","SB","Santa Barbara: Rincon ","Santa Barbara",NA,34.38,-119.48,"Anthropocene",NA,2010,2017,"Fall",12,16.44574992,1.875877106,NA,NA,NA,0.56,NA,NA,NA,NA,"0","0","0","0","0","0","0","0","0","0",NA,NA,"0",NA,NA,NA,NA,NA,"0",NA,"0","0","no","https://static.inaturalist.org/photos/12180989/medium.jpeg?1512313232"
356,"iNat","4935041","dlbowls","Southern California Bight","Los Angeles","Coastal","NLA","Sequit Point","Los Angeles",NA,34.04,-118.93,"Anthropocene",NA,2010,2017,"Winter",1,16.44574992,1.875877106,NA,NA,NA,0.56,NA,NA,"sand",NA,"0","0","0","0","0","0","0","0","0","0","177.5555556","252.8501584","36","1.869419445","5.642637363","3.188417876","22.29763266","14.01034859","276","2.886591382","10.64410019","10.64410019","no","https://static.inaturalist.org/photos/6016276/medium.jpg?1484268284"
357,"iNat","5026834","dlbowls","Southern California Bight","Los Angeles","Coastal","NLA","Sequit Point","Los Angeles",NA,34.04,-118.93,"Anthropocene",NA,2010,2017,"Winter",1,16.44574992,1.875877106,NA,NA,NA,0.56,NA,NA,NA,NA,"0","0","0","0","0","0","0","0","0","0","177.5555556","252.8501584","36","1.869419445","5.642637363","3.188417876","22.29763266","14.01034859","276","2.886591382","10.64410019","10.64410019","no","https://static.inaturalist.org/photos/6153209/medium.jpg?1485752284"
358,"iNat","5780887","dlbowls","Southern California Bight","Los Angeles","Coastal","NLA","Sequit Point","Los Angeles",NA,34.04,-118.93,"Anthropocene",NA,2010,2017,"Spring",4,16.44574992,1.875877106,NA,NA,NA,0.62,NA,NA,NA,NA,"0","0","0","0","0","0","0","0","0","0","177.5555556","252.8501584","36","1.869419445","5.642637363","3.188417876","22.29763266","14.01034859","276","2.886591382","10.64410019","10.64410019","no","https://static.inaturalist.org/photos/7179214/medium.jpg?1492399729"
359,"iNat","5104163","tiyumq","Southern California Bight","Los Angeles","Coastal","NLA","Sequit Point","Los Angeles",NA,34.04,-118.88,"Anthropocene",NA,2010,2017,"Winter",2,16.44574992,1.875877106,NA,NA,NA,0.59,NA,NA,NA,NA,"0","0","0","0","0","0","0","0","0","0",NA,NA,"0",NA,NA,NA,NA,NA,"0",NA,"10.68529987","10.68529987","no","https://static.inaturalist.org/photos/6275051/medium.jpeg?1487026170"
360,"iNat","7249435","maxbottomtime","Southern California Bight","Los Angeles","Coastal","LA","Palos Verdes: Lunada Bay","Los Angeles",NA,33.76,-118.43,"Anthropocene",NA,2010,2017,"Summer",7,17.53939255,2.048625107,NA,NA,NA,0.52,NA,NA,"algae forest",NA,"0","0","0","0","0","0","0","0","0","0","175.5714286","206.5678719","14","1.903697969","8.768707391","5.503522372","42.63680809","31.32973035","230","0.312275194","1967.77002","1967.77002","no","https://static.inaturalist.org/photos/9365987/medium.jpg?1501267327"
361,"iNat","9024964","pliffgrieff","Southern California Bight","Los Angeles","Coastal","LA","White Point ","Los Angeles",NA,33.72,-118.32,"Anthropocene",NA,2010,2017,"Fall",12,17.53939255,2.048625107,NA,NA,NA,0.55,NA,NA,NA,NA,"0","0","0","0","0","0","0","0","0","0",NA,NA,"0",NA,NA,NA,NA,NA,"0",NA,"2268.449951","2268.449951","no","https://static.inaturalist.org/photos/12172152/medium.jpg?1512267646"
362,"iNat","9026065","cedric_lee","Southern California Bight","Los Angeles","Coastal","LA","White Point","Los Angeles",NA,33.72,-118.32,"Anthropocene",NA,2010,2017,"Fall",12,17.53939255,2.048625107,NA,NA,NA,0.51,NA,NA,NA,NA,"0","0","0","0","0","0","0","0","0","0",NA,NA,"0",NA,NA,NA,NA,NA,"0",NA,"2268.449951","2268.449951","no","https://static.inaturalist.org/photos/12172972/medium.jpeg?1512269623"
363,"iNat","6801470","gwenckatz","Southern California Bight","Los Angeles","Coastal","LA","Point Fermin","Los Angeles",NA,33.71,-118.29,"Anthropocene",NA,2010,2017,"Spring",6,17.53939255,2.048625107,NA,NA,NA,0.57,NA,NA,NA,NA,"0","0","0","0","0","0","0","0","0","0","99.5","55.86143571","4","0.410121933","2.331321393","1.190479211","6.796533765","3.108852918","201","0.506763409","2335.149902","2335.149902","no","https://static.inaturalist.org/photos/8652756/medium.jpeg?1498440804"
364,"iNat","8894384","kestrel","Southern California Bight","Los Angeles","Coastal","LA","Point Fermin","Los Angeles",NA,33.71,-118.29,"Anthropocene",NA,2010,2017,"Fall",11,17.53939255,2.048625107,NA,NA,NA,0.59,NA,NA,NA,NA,"0","0","0","0","0","0","1","0","0","0","99.5","55.86143571","4","0.410121933","2.331321393","1.190479211","6.796533765","3.108852918","201","0.506763409","2335.149902","2335.149902","no","https://static.inaturalist.org/photos/11966812/medium.jpeg?1511332569"
365,"iNat","9193692","reddawnrunner","Southern California Bight","Orange","Coastal","SLA","Newport: Crystal Cove","Los Angeles",NA,33.58,-117.85,"Anthropocene",NA,2010,2017,"Fall",12,17.78920778,2.150189751,NA,NA,NA,0.63,NA,NA,"algae forest",NA,"0","0","0","0","0","0","0","0","0","0",NA,NA,"0",NA,"10.82006849","5.572649976","23.38605142","11.73610408","73","1.11024547","2168.550049","2168.550049","no","https://static.inaturalist.org/photos/12444534/medium.jpg?1513622455"
366,"iNat","6026868","psyllidhipster","Southern California Bight","Orange","Coastal","SLA","Newport: Crystal Cove","Los Angeles",NA,33.57,-117.84,"Anthropocene",NA,2010,2017,"Spring",4,17.78920778,2.150189751,NA,NA,NA,0.61,NA,NA,NA,NA,"0","0","0","0","0","0","0","1","0","0",NA,NA,"0",NA,"2.637423333","1.333101853","5.036654032","2.545798671","30","0.794346583","2351.439941","2351.439941","no","https://static.inaturalist.org/photos/7543902/medium.jpeg?1493584825"
