"Specimen_Number","Collection","Lot_Number","Collector","Ecoregion","County","Coastal_Proximity","Location","Site","SoCal_Group","Island_Size","Latitude","Longitude","Epoch","Formation","Decade","Year","Season","Month","Mean_SST","Mean_SST_Sdev","Length_mm","Width_mm","Geometric_Mean","Globosity_WoverL","Aperture_mm","Thickness_mm","Habitat","Depth","BRY","BAR","LMP","TWS","COR","ALG","SCR","BOR_TAP","BOR_STR","BOR_INC","mean_pvolc3","sd_pvolc3","zooplankton_n_points_used","zooplankton_mean_distance","fish_total_catch_wt_kg","fish_cpue_kg_per_ha_der","sd_total_catch_wt_kg","sd_cpue_kg_per_ha_der","fish_n_points_used","fish_mean_distance","Population_Density","Population_Density_NoBaja","MPA","Image_url","Data_Type"
114,"CAS","204235","Raymond","Southern California Bight","Los Angeles","Coastal","LA","Point Fermin","Los Angeles",NA,33.7,-118.32,"Holocene",NA,1900,1901,NA,NA,16.00703629,1.659065137,18.54,11.43,14.5572044019448,0.616504854368932,2.79,0.25,NA,"deep",0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.035950098,0.035950098,"no",NA,"Museum/Field"
1544,"LACM-M","41-62.2","Velero III","Northern California","Santa Barbara","Off Shore","SRI","Santa Rosa Island: South Point","National Park","Large",33.9,-120.01,"Holocene",NA,1940,1941,"Spring",4,16.56658975,1.364931749,21.59,13.34,16.9708750510986,0.617878647522001,3.49,0.34,"rocky reef or intertidal","subtidal",0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.812170029,9.812170029,"no",NA,"Museum/Field"
2453,"PR","Diurnal Study","Ul-Hasan","Southern California Bight","San Diego","Coastal","SD","San Diego: Mission Bay","San Diego",NA,32.76,-117.25,"Anthropocene",NA,2010,2017,"Spring",5,17.92041636,2.114710079,19,10,13.7840487520902,0.526315789473684,NA,NA,"sand","intertidal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,177.75,195.9400418,16,1.067754653,NA,NA,NA,NA,0,NA,1790.209961,1790.209961,"no",NA,"Museum/Field"
1864,"LACM-M-IP","1304.5",NA,"Southern California Bight","Los Angeles","Coastal","LA","Point Fermin","Los Angeles",NA,33.75,-118.33,"Pleistocene","12th Terrace",NA,NA,NA,NA,13.21,5.911,29.5,16.82,22.275322668819,0.570169491525424,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Museum/Field"
1558,"LACM-M","41-75.6","Velero III","Southern California Bight","Santa Barbara","Off Shore","SCZI","Santa Cruz Island: Southeast of Smugglers Cove","National Park","Large",34.01,-119.53,"Holocene",NA,1940,1941,"Spring",4,16.64611991,1.507044163,14.09,8.31,10.8207162424675,0.589779985805536,2.08,0.32,"rocky reef or intertidal","subtidal",0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.793631017,0.793631017,"no",NA,"Museum/Field"
2051,"MCZ","198523","Fitch","Southern California Bight","Los Angeles","Coastal","LA","Long Beach: South of ","Los Angeles",NA,33.68,-118.2,"Anthropocene",NA,1950,1953,"Winter",2,15.96459651,1.796097427,16.25,7.83,11.2799601063124,0.481846153846154,2.01,0.45,NA,NA,0,0,0,0,0,0,0,0,0,0,361.4195652,862.7487662,460,3.710002938,NA,NA,NA,NA,NA,NA,0,0,"no",NA,"Museum/Field"
632,"LACM-M","61-10.3","McLean","Southern California Bight","Los Angeles","Coastal","LA","Palos Verdes: Point Vincente","Los Angeles",NA,33.74,-118.41,"Anthropocene",NA,1960,1961,"Fall",11,16.47469139,1.706518687,15.68,9.21,12.01718769097,0.587372448979592,2.28,0.38,NA,NA,0,0,0,0,0,0,0,0,0,0,207.375,211.0869405,8,0.946414286,NA,NA,NA,NA,NA,NA,NA,NA,"no",NA,"Museum/Field"
662,"LACM-M","62-38.1","LaFollette","Southern California Bight","Los Angeles","Coastal","LA","Palos Verdes: Point Vincente","Los Angeles",NA,33.74,-118.4,"Anthropocene",NA,1960,1962,"Spring",4,16.02088594,1.811912027,17.94,10.3,13.5934543071289,0.574136008918618,2.4,0.46,"rocky reef or intertidal","intertidal",0,0,0,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no",NA,"Museum/Field"
2449,"PR","Diurnal Study","Ul-Hasan","Southern California Bight","San Diego","Coastal","SD","San Diego: Mission Bay","San Diego",NA,32.76,-117.25,"Anthropocene",NA,2010,2017,"Spring",5,17.92041636,2.114710079,17.5,9,12.5499003980111,0.514285714285714,NA,NA,"sand","intertidal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,177.75,195.9400418,16,1.067754653,NA,NA,NA,NA,0,NA,1790.209961,1790.209961,"no",NA,"Museum/Field"
2603,"PR","Diurnal Study","Ul-Hasan","Southern California Bight","San Diego","Coastal","SD","San Diego: Mission Bay","San Diego",NA,32.76,-117.25,"Anthropocene",NA,2010,2017,"Spring",5,17.92041636,2.114710079,22,10.5,15.1986841535707,0.477272727272727,NA,NA,"sand","intertidal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,177.75,195.9400418,16,1.067754653,NA,NA,NA,NA,0,NA,1790.209961,1790.209961,"no",NA,"Museum/Field"
432,"LACM-M","48-43.5","VeleroIV","Southern California Bight","Santa Barbara","Off Shore","SCZI","Santa Cruz Island: Southeast of","National Park","Large",33.93,-119.52,"Anthropocene",NA,1940,1948,"Fall",12,15.26946648,1.553326958,12.68,8.22,10.2092898871567,0.648264984227129,1.65,0.42,NA,"subtidal",0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.778151989,0.778151989,"no",NA,"Museum/Field"
2601,"PR","Diurnal Study","Ul-Hasan","Southern California Bight","San Diego","Coastal","SD","San Diego: Mission Bay","San Diego",NA,32.76,-117.25,"Anthropocene",NA,2010,2017,"Spring",5,17.92041636,2.114710079,18,10,13.4164078649987,0.555555555555556,NA,NA,"sand","intertidal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,177.75,195.9400418,16,1.067754653,NA,NA,NA,NA,0,NA,1790.209961,1790.209961,"no",NA,"Museum/Field"
598,"LACM-M","60-13.5","Oringer","Southern California Bight","Los Angeles","Coastal","LA","Palos Verdes: Lunada Bay","Los Angeles",NA,33.77,-118.43,"Anthropocene",NA,1960,1960,"Summer",7,16.39862132,1.580005745,15.08,8.39,11.2481642946749,0.556366047745358,1.82,0.45,NA,NA,0,0,0,0,0,0,0,0,0,0,306.5589431,586.4115758,492,3.957748754,NA,NA,NA,NA,NA,NA,NA,NA,"no",NA,"Museum/Field"
2533,"PR","Diurnal Study","Ul-Hasan","Southern California Bight","San Diego","Coastal","SD","San Diego: Mission Bay","San Diego",NA,32.76,-117.25,"Anthropocene",NA,2010,2017,"Spring",5,17.92041636,2.114710079,18,10,13.4164078649987,0.555555555555556,NA,NA,"sand","intertidal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,177.75,195.9400418,16,1.067754653,NA,NA,NA,NA,0,NA,1790.209961,1790.209961,"no",NA,"Museum/Field"
971,"LACM-M","73-11.6","McLean","Southern California Bight","Los Angeles","Off Shore","SCZI","Santa Cruz Island: West of Gull Island","National Park","Large",33.95,-119.83,"Anthropocene",NA,1970,1973,"Spring",6,14.76105968,1.135799585,14,8.33,10.7990740343791,0.595,1.83,0.45,"rocky reef or intertidal","subtidal",0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.46762991,7.46762991,"no",NA,"Museum/Field"
1631,"LACM-M","41-155.3","Velero III","Southern California Bight","Los Angeles","Off Shore","CAT","Santa Catalina Island: East of Empire Landing","CAT","Large",33.42,-118.38,"Holocene",NA,1940,1941,"Summer",8,17.33746147,1.693154134,16.07,9.72,12.4980158425248,0.604853764779091,2.54,0.21,NA,"subtidal",0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"no",NA,"Museum/Field"
2536,"PR","Diurnal Study","Ul-Hasan","Southern California Bight","San Diego","Coastal","SD","San Diego: Mission Bay","San Diego",NA,32.76,-117.25,"Anthropocene",NA,2010,2017,"Spring",5,17.92041636,2.114710079,21,12,15.8745078663875,0.571428571428571,NA,NA,"sand","intertidal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,177.75,195.9400418,16,1.067754653,NA,NA,NA,NA,0,NA,1790.209961,1790.209961,"no",NA,"Museum/Field"
1167,"LACM-M","63855","ImmaculateHeart","Southern California Bight","Los Angeles","Coastal","LA","Palos Verdes: Point Vincente","Los Angeles",NA,33.74,-118.39,"Holocene",NA,1930,1934,"Summer",9,16.38385431,1.699943395,25.15,13.32,18.3029505818051,0.52962226640159,3.56,0.4,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.07470036,13.07470036,"no",NA,"Museum/Field"
2801,"SBNHM","2234","King","Southern California Bight","Los Angeles","Off Shore","CAT","Santa Catalina Island: Gallagher","CAT","Large",33.37,-118.34,"Anthropocene",NA,1960,1964,NA,NA,16.02046,1.424165,25.4,12.97,18.1504269922225,0.510629921259843,3.33,1.02,NA,"subtidal",1,0,0,0,0,0,0,0,0,0,227.8841,406.2454,371,3.682849,NA,NA,NA,NA,NA,NA,NA,NA,"no",NA,"Museum/Field"
270,"CAS","217546","McClure","Southern California Bight","Orange","Coastal","SLA","Newport: Balboa Bay","Los Angeles",NA,33.6,-117.89,"Holocene",NA,1930,1936,NA,NA,16.72717158,2.062172763,17.1,10.06,13.1158682518543,0.588304093567251,2.37,0.31,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.84399986,11.84399986,"no",NA,"Museum/Field"
2712,"SBNHM","3955","Felger","Southern California Bight","Los Angeles","Coastal","NLA","Malibu: Laguna Point","Los Angeles",NA,34.02,-118.78,"Anthropocene",NA,1950,1950,NA,NA,14.92917085,1.917972625,24,13.05,17.6974574445032,0.54375,2.72,0.56,"rocky reef or intertidal",NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00932179,0.00932179,"no",NA,"Museum/Field"
1919,"LACM-M-IP","10167.44",NA,"Southern California Bight","San Diego","Coastal","SD","Point Loma","San Diego",NA,32.69,-117.25,"Pleistocene","Quaternary terrace",NA,NA,NA,NA,14.37,7.6963,11.81,5.61,8.13966215515116,0.47502116850127,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Museum/Field"
1786,"LACM-M-IP","5068.69",NA,"Southern California Bight","Santa Barbara","Off Shore","SBI","Santa Barbara Island, Santa Barbara Co., California","SBI","Small",33.48,-119.04,"Pleistocene","Quaternary terrace",NA,NA,NA,NA,13,4.7235,18.24,10.99,14.1583049832951,0.602521929824561,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Museum/Field"
458,"LACM-M","115301",NA,"Southern California Bight","Los Angeles","Coastal","LA","Palos Verdes: Bluff Cove","Los Angeles",NA,33.79,-118.41,"Anthropocene",NA,1940,1948,"Winter",2,15.63168168,1.586924586,19.91,11.2,14.9329166608536,0.562531391260673,2.6,0.41,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,263.019989,263.019989,"no",NA,"Museum/Field"
1275,"LACM-M","40-165.7","Velero III","Southern California Bight","Santa Barbara","Off Shore","SCZI","South side of Santa Cruz Island","National Park","Large",33.97,-119.63,"Holocene",NA,1940,1940,"Fall",10,16.3371683,1.286153154,21.77,12.7,16.6276576823075,0.583371612310519,2.52,0.87,"sand","deep",0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.609030008,1.609030008,"no",NA,"Museum/Field"
2564,"PR","Diurnal Study","Ul-Hasan","Southern California Bight","San Diego","Coastal","SD","San Diego: Mission Bay","San Diego",NA,32.76,-117.25,"Anthropocene",NA,2010,2017,"Spring",5,17.92041636,2.114710079,19,10,13.7840487520902,0.526315789473684,NA,NA,"sand","intertidal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,177.75,195.9400418,16,1.067754653,NA,NA,NA,NA,0,NA,1790.209961,1790.209961,"no",NA,"Museum/Field"
51,"CAS","217501","Newby","Southern California Bight","Orange","Coastal","SLA","Doheny Beach","Los Angeles",NA,33.46,-117.68,"Anthropocene",NA,1960,1963,NA,NA,17.17467523,2.267828277,12.7,8.13,10.1612499231148,0.640157480314961,2.03,0.51,NA,"intertidal",0,0,0,0,0,0,0,0,0,0,172.9068493,315.349731,365,3.693923335,NA,NA,NA,NA,NA,NA,NA,NA,"no",NA,"Museum/Field"
2370,"PR","Diurnal Study","Ul-Hasan","Southern California Bight","San Diego","Coastal","SD","San Diego: Mission Bay","San Diego",NA,32.76,-117.25,"Anthropocene",NA,2010,2017,"Spring",5,17.92041636,2.114710079,19,11,14.456832294801,0.578947368421053,NA,NA,"sand","intertidal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,177.75,195.9400418,16,1.067754653,NA,NA,NA,NA,0,NA,1790.209961,1790.209961,"no",NA,"Museum/Field"
2491,"PR","Diurnal Study","Ul-Hasan","Southern California Bight","San Diego","Coastal","SD","San Diego: Mission Bay","San Diego",NA,32.76,-117.25,"Anthropocene",NA,2010,2017,"Spring",5,17.92041636,2.114710079,20,10,14.142135623731,0.5,NA,NA,"sand","intertidal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,177.75,195.9400418,16,1.067754653,NA,NA,NA,NA,0,NA,1790.209961,1790.209961,"no",NA,"Museum/Field"
1784,"LACM-M-IP","5068.69",NA,"Southern California Bight","Santa Barbara","Off Shore","SBI","Santa Barbara Island, Santa Barbara Co., California","SBI","Small",33.48,-119.04,"Pleistocene","Quaternary terrace",NA,NA,NA,NA,13,4.7235,18.72,10.67,14.1330251538728,0.569978632478633,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Museum/Field"
2324,"PR","300 PSI Gland","Ul-Hasan","Southern California Bight","San Diego","Coastal","SD","San Diego: Mission Bay","San Diego",NA,32.76,-117.25,"Anthropocene",NA,2010,2017,"Spring",6,17.92041636,2.114710079,21,12,15.8745078663875,0.571428571428571,2.5,0.3,"sand","intertidal",1,NA,0,0,0,0,1,0,0,0,177.75,195.9400418,16,1.067754653,NA,NA,NA,NA,0,NA,1790.209961,1790.209961,"no",NA,"Museum/Field"
2327,"PR","300 PSI Gland","Ul-Hasan","Southern California Bight","San Diego","Coastal","SD","San Diego: Mission Bay","San Diego",NA,32.76,-117.25,"Anthropocene",NA,2010,2017,"Spring",6,17.92041636,2.114710079,19,11,14.456832294801,0.578947368421053,2,0.3,"sand","intertidal",1,NA,0,0,0,0,1,0,0,0,177.75,195.9400418,16,1.067754653,NA,NA,NA,NA,0,NA,1790.209961,1790.209961,"no",NA,"Museum/Field"
1060,"LACM-M","19999","Gregg","Southern California Bight","Los Angeles","Coastal","LA","Palos Verdes: Sacred Cove","Los Angeles",NA,33.74,-118.37,"Holocene",NA,1920,1923,"Spring",4,15.57184283,1.680995603,19.64,11.27,14.8775938914866,0.573828920570265,2.59,0.38,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.209279001,0.209279001,"no",NA,"Museum/Field"
463,"LACM-M","48-11.2","VeleroIV","Southern California Bight","Los Angeles","Off Shore","CAT","Santa Catalina Island: White Cove","CAT","Large",33.39,-118.37,"Anthropocene",NA,1940,1948,"Fall",10,15.63168168,1.586924586,20.97,12.3,16.0602303843998,0.586552217453505,2.77,0.55,"sand","subtidal",1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"no",NA,"Museum/Field"
2233,"PR","pilot_winter","Ul-Hasan","Southern California Bight","Baja California","Coastal","NBC","Puerto Nuevo: Sheltered",NA,NA,32.25,-116.95,"Anthropocene",NA,2010,2016,"Fall",12,17.97017272,1.879419419,21.5,10.5,15.0249792013167,0.488372093023256,2.5,0.4,"rocky reef or intertidal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,162.3333333,168.2613513,36,0.61263272,NA,NA,NA,NA,0,NA,1258.630005,NA,"no",NA,"Museum/Field"
1280,"LACM-M","40-160.1","Velero III","Southern California Bight","Los Angeles","Off Shore","CAT","Santa Catalina Island: Bird Rock","CAT","Large",33.45,-118.49,"Holocene",NA,1940,1940,"Summer",9,16.74628806,1.192287243,20.47,11.54,15.3695738392449,0.563751831949194,2.77,0.45,"algae forest","subtidal",1,0,0,0,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"no",NA,"Museum/Field"
1989,"LACM-M-IP","10130.21",NA,"Southern California Bight","Baja California","Coastal","NBC","La Mision",NA,NA,31.74,-116.74,"Pleistocene","2nd Terrace",NA,NA,NA,NA,13.26,4.542,10.9,6.92,8.6849294758219,0.634862385321101,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Museum/Field"
574,"LACM-M","105150","Rogers","Southern California Bight","Los Angeles","Coastal","LA","Point Fermin","Los Angeles",NA,33.67,-118.25,"Anthropocene",NA,1950,1957,"Summer",8,16.84203339,1.877503874,19.13,11.57,14.8773015026247,0.604809200209096,2.71,0.47,NA,NA,0,0,0,0,0,0,0,0,0,0,186.6518771,446.1553962,586,4.030890572,NA,NA,NA,NA,NA,NA,0.289864987,0.289864987,"no",NA,"Museum/Field"
900,"LACM-M","71-100.4","McLean","Southern California Bight","San Diego","Coastal","SD","San Diego: Mission Bay","San Diego",NA,32.76,-117.25,"Anthropocene",NA,1970,1971,"Summer",8,15.72503765,2.476800409,17.5,9.68,13.0153755228192,0.553142857142857,2.27,0.28,NA,"subtidal",0,0,1,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.57990074,18.57990074,"no",NA,"Museum/Field"
2612,"PR","Diurnal Study","Ul-Hasan","Southern California Bight","San Diego","Coastal","SD","San Diego: Mission Bay","San Diego",NA,32.76,-117.25,"Anthropocene",NA,2010,2017,"Spring",5,17.92041636,2.114710079,18,11,14.0712472794703,0.611111111111111,NA,NA,"sand","intertidal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,177.75,195.9400418,16,1.067754653,NA,NA,NA,NA,0,NA,1790.209961,1790.209961,"no",NA,"Museum/Field"
2840,"SBNHM","25115","Bertsch","Southern California Bight","Los Angeles","Coastal","LA","Point Fermin","Los Angeles",NA,33.71,-118.29,"Anthropocene",NA,1960,1968,"Winter",3,16.51692,1.480324,11.26,7.02,8.89073675237323,0.623445825932504,1.55,0.42,NA,NA,0,0,0,0,0,0,0,0,0,0,295.7778,535.0626,36,2.035289,NA,NA,NA,NA,NA,NA,NA,NA,"no",NA,"Museum/Field"
2334,"PR","Diurnal Study","Ul-Hasan","Southern California Bight","San Diego","Coastal","SD","San Diego: Mission Bay","San Diego",NA,32.76,-117.25,"Anthropocene",NA,2010,2017,"Spring",5,17.92041636,2.114710079,21,12,15.8745078663875,0.571428571428571,NA,NA,"sand","intertidal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,177.75,195.9400418,16,1.067754653,NA,NA,NA,NA,0,NA,1790.209961,1790.209961,"no",NA,"Museum/Field"
2118,"MCZ","105805","Burch","Southern California Bight","Baja California","Coastal","NBC","All Saints Bay",NA,NA,31.71,-116.64,"Holocene",NA,1930,1937,"Winter",2,16.62510562,2.02799402,23.57,12.56,17.2057897232298,0.532880780653373,2.52,0.54,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.517509937,NA,"no",NA,"Museum/Field"
2157,"MCZ","323204","Burch","Southern California Bight","Los Angeles","Coastal","LA","Redondo Beach","Los Angeles",NA,33.84,-118.39,"Holocene",NA,1940,1940,"Summer",8,16.74628806,1.192287243,12.09,6.08,8.57363400198539,0.502894954507858,1.79,0.34,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,272.04599,272.04599,"no",NA,"Museum/Field"
905,"LACM-M","71-100.4","McLean","Southern California Bight","San Diego","Coastal","SD","San Diego: Mission Bay","San Diego",NA,32.76,-117.25,"Anthropocene",NA,1970,1971,"Summer",8,15.72503765,2.476800409,19.93,11.49,15.1326038737555,0.576517812343201,2.62,0.4,NA,"subtidal",0,0,0,0,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.57990074,18.57990074,"no",NA,"Museum/Field"
627,"LACM-M","105603","Rogders","Southern California Bight","Los Angeles","Coastal","LA","Point Fermin","Los Angeles",NA,33.67,-118.25,"Anthropocene",NA,1960,1960,"Fall",12,16.39862132,1.580005745,24.93,14.2,18.8150471697522,0.569594865623747,3.39,0.36,NA,"subtidal",0,0,0,0,0,0,0,0,0,0,120.7903226,163.6780041,682,4.006893693,NA,NA,NA,NA,NA,NA,NA,NA,"no",NA,"Museum/Field"
962,"LACM-M","73-11.6","McLean","Southern California Bight","Los Angeles","Off Shore","SCZI","Santa Cruz Island: West of Gull Island","National Park","Large",33.95,-119.83,"Anthropocene",NA,1970,1973,"Spring",6,14.76105968,1.135799585,7.89,5.07,6.32473714868847,0.642585551330799,1.22,0.38,"rocky reef or intertidal","subtidal",0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.46762991,7.46762991,"no",NA,"Museum/Field"
2512,"PR","Diurnal Study","Ul-Hasan","Southern California Bight","San Diego","Coastal","SD","San Diego: Mission Bay","San Diego",NA,32.76,-117.25,"Anthropocene",NA,2010,2017,"Spring",5,17.92041636,2.114710079,19,11,14.456832294801,0.578947368421053,NA,NA,"sand","intertidal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,177.75,195.9400418,16,1.067754653,NA,NA,NA,NA,0,NA,1790.209961,1790.209961,"no",NA,"Museum/Field"
261,"CAS","217524","Zaca","Southern California Bight","Baja California","Off Shore","SBC","Isla de Cedros",NA,NA,28.12,-115.16,"Holocene",NA,1930,1932,NA,NA,17.53774619,1.557173058,17.45,9.42,12.8210373995243,0.539828080229226,1.88,0.64,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.517509937,NA,"no",NA,"Museum/Field"
2623,"PR","Diurnal Study","Ul-Hasan","Southern California Bight","San Diego","Coastal","SD","San Diego: Mission Bay","San Diego",NA,32.76,-117.25,"Anthropocene",NA,2010,2017,"Spring",5,17.92041636,2.114710079,17,9,12.369316876853,0.529411764705882,NA,NA,"sand","intertidal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,177.75,195.9400418,16,1.067754653,NA,NA,NA,NA,0,NA,1790.209961,1790.209961,"no",NA,"Museum/Field"
2169,"MCZ","206470","Burch","Southern California Bight","Los Angeles","Coastal","LA","El Segundo Beach","Los Angeles",NA,33.9,-118.42,"Holocene",NA,1940,1941,"Summer",8,17.33746147,1.693154134,30,17.11,22.6561249996552,0.570333333333333,4.13,0.75,NA,NA,0,0,0,0,0,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,137.6060028,137.6060028,"no",NA,"Museum/Field"
1316,"LACM-M","40-144.3","Velero III","Southern California Bight","Los Angeles","Off Shore","CAT","Santa Catalina Island: Blue Cavern","CAT","Large",33.45,-118.46,"Holocene",NA,1940,1940,"Summer",8,16.74628806,1.192287243,14.7,8.46,11.1517711597755,0.575510204081633,2.29,0.21,NA,"deep",0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"no",NA,"Museum/Field"
794,"LACM-M","105761","Baxter","Southern California Bight","Los Angeles","Coastal","LA","Manhattan Beach","Los Angeles",NA,33.93,-118.44,"Anthropocene",NA,1960,1968,"Winter",1,16.51691922,1.480323832,35.93,21.4,27.7290822062325,0.595602560534372,4.68,1.6,NA,"subtidal",0,0,0,0,0,0,0,0,0,0,728.4375,957.4018233,48,3.688295345,NA,NA,NA,NA,NA,NA,NA,NA,"no",NA,"Museum/Field"
1703,"LACM-M-IP","10731.7",NA,"Northern California","San Luis Obispo","Coastal","MB","Cayucos Point",NA,NA,35.45,-120.91,"Pleistocene",NA,NA,NA,NA,NA,9.68,1.9567,22.14,12.77,16.8145115896954,0.576784101174345,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Museum/Field"
1226,"LACM-M","41-72.2","Velero III","Northern California","Santa Barbara","Off Shore","SRI","Santa Rosa Island: East of South Point","National Park","Large",33.89,-120,"Holocene",NA,1940,1940,"Spring",4,16.24526834,1.428706639,12.01,7.42,9.44003177960752,0.61781848459617,1.78,0.21,"rocky reef or intertidal","subtidal",0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.812170029,9.812170029,"no",NA,"Museum/Field"
2870,"SBNHM","97997","Meistrell","Southern California Bight","Los Angeles","Coastal","LA","Redondo Beach","Los Angeles",NA,33.85,-118.4,"Anthropocene",NA,1970,1974,"Summer",8,15.4412,2.016344,26.22,15.31,20.0356731855957,0.583905415713196,3.06,0.81,NA,"subtidal",0,0,0,0,0,0,0,0,0,0,122.8135,104.1188,193,3.032556,NA,NA,NA,NA,NA,NA,1921.060059,1921.060059,"no",NA,"Museum/Field"
2372,"PR","Diurnal Study","Ul-Hasan","Southern California Bight","San Diego","Coastal","SD","San Diego: Mission Bay","San Diego",NA,32.76,-117.25,"Anthropocene",NA,2010,2017,"Spring",5,17.92041636,2.114710079,20,12,15.4919333848297,0.6,NA,NA,"sand","intertidal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,177.75,195.9400418,16,1.067754653,NA,NA,NA,NA,0,NA,1790.209961,1790.209961,"no",NA,"Museum/Field"
1529,"LACM-M","41-61.3","Velero III","Northern California","Santa Barbara","Off Shore","SRI","Santa Rosa Island: East of South Point","National Park","Large",33.89,-120.05,"Holocene",NA,1940,1941,"Spring",4,16.56658975,1.364931749,19.39,12.85,15.7848503318847,0.662712738525013,2.87,0.47,NA,"subtidal",1,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.31900024,10.31900024,"no",NA,"Museum/Field"
1301,"LACM-M","40-115.1","Velero III","Southern California Bight","Los Angeles","Coastal","LA","El Segundo","Los Angeles",NA,33.89,-118.48,"Holocene",NA,1940,1940,"Spring",5,16.74628806,1.192287243,19.26,10.45,14.1868601177287,0.54257528556594,2.49,0.4,"sand","subtidal",1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.546740055,7.546740055,"no",NA,"Museum/Field"
1715,"LACM-M-IP","11762.26",NA,"Northern California","San Luis Obispo","Coastal","MB","Cayucos Point",NA,NA,35.45,-120.9,"Pleistocene","Quaternary terrace",NA,NA,NA,NA,9.68,1.9567,18.72,10.82,14.2320202360733,0.577991452991453,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Museum/Field"
